date,code,vi_count,updated_at
2026-02-09,009155,0,2026-02-09T01:19:38.543206
2026-02-09,009160,0,2026-02-09T01:19:43.305487
2026-02-09,009180,0,2026-02-09T01:19:47.550791
2026-02-09,009190,0,2026-02-09T01:19:52.050422
2026-02-09,0091W0,0,2026-02-09T01:19:56.845927
2026-02-09,009200,0,2026-02-09T01:20:01.785882
2026-02-09,009240,0,2026-02-09T01:20:06.728210
2026-02-09,009270,0,2026-02-09T01:20:11.679428
2026-02-09,009290,0,2026-02-09T01:20:17.491214
2026-02-09,009300,0,2026-02-09T01:20:22.995050
2026-02-09,009310,0,2026-02-09T01:20:27.434454
2026-02-09,009320,0,2026-02-09T01:20:32.180716
2026-02-09,0093G0,0,2026-02-09T01:20:37.046261
2026-02-09,009410,0,2026-02-09T01:20:41.900507
2026-02-09,009415,0,2026-02-09T01:20:46.570270
2026-02-09,009420,0,2026-02-09T01:20:51.220175
2026-02-09,009440,0,2026-02-09T01:20:56.014281
2026-02-09,009450,0,2026-02-09T01:21:00.403531
2026-02-09,009460,0,2026-02-09T01:21:05.552887
2026-02-09,009470,0,2026-02-09T01:21:10.052475
2026-02-09,009520,0,2026-02-09T01:21:14.634172
2026-02-09,009540,0,2026-02-09T01:21:19.469879
2026-02-09,009580,0,2026-02-09T01:21:24.203306
2026-02-09,009620,1,2026-02-09T01:21:28.958058
2026-02-09,009680,0,2026-02-09T01:21:33.922302
2026-02-09,0096B0,0,2026-02-09T01:21:38.300139
2026-02-09,0096D0,0,2026-02-09T01:21:43.088480
2026-02-09,009730,0,2026-02-09T01:21:47.723846
2026-02-09,009770,0,2026-02-09T01:21:52.284655
2026-02-09,009780,0,2026-02-09T01:21:56.792305
2026-02-09,0097F0,0,2026-02-09T01:22:01.370480
2026-02-09,009810,0,2026-02-09T01:22:06.155529
2026-02-09,009830,1,2026-02-09T01:22:10.757126
2026-02-09,009835,1,2026-02-09T01:22:15.440560
2026-02-09,0098T0,0,2026-02-09T01:22:19.975270
2026-02-09,009900,0,2026-02-09T01:22:24.712372
2026-02-09,009970,0,2026-02-09T01:22:29.354512
2026-02-09,0099W0,0,2026-02-09T01:22:33.903737
2026-02-09,0099X0,0,2026-02-09T01:22:38.835208
2026-02-09,010040,0,2026-02-09T01:22:43.439364
2026-02-09,010060,0,2026-02-09T01:22:48.041015
2026-02-09,010100,0,2026-02-09T01:22:52.759556
2026-02-09,010120,0,2026-02-09T01:22:57.353069
2026-02-09,010130,0,2026-02-09T01:23:02.109059
2026-02-09,010140,0,2026-02-09T01:23:06.979049
2026-02-09,010170,0,2026-02-09T01:23:11.474963
2026-02-09,0101C0,0,2026-02-09T01:23:16.305158
2026-02-09,010240,0,2026-02-09T01:23:20.995836
2026-02-09,010280,0,2026-02-09T01:23:25.665375
2026-02-09,010400,0,2026-02-09T01:23:30.055324
2026-02-09,010470,0,2026-02-09T01:23:34.708447
2026-02-09,010580,0,2026-02-09T01:23:39.428285
2026-02-09,0105P0,0,2026-02-09T01:23:43.917749
2026-02-09,010640,0,2026-02-09T01:23:48.625217
2026-02-09,010660,0,2026-02-09T01:23:53.431666
2026-02-09,010690,0,2026-02-09T01:23:57.926872
2026-02-09,010770,0,2026-02-09T01:24:02.552890
2026-02-09,010780,0,2026-02-09T01:24:07.465558
2026-02-09,010820,0,2026-02-09T01:24:12.144716
2026-02-09,010950,0,2026-02-09T01:24:17.037700
2026-02-09,010955,0,2026-02-09T01:24:22.064220
2026-02-09,010960,0,2026-02-09T01:24:26.699283
2026-02-09,011000,0,2026-02-09T01:24:31.371196
2026-02-09,011040,0,2026-02-09T01:24:36.204969
2026-02-09,011070,0,2026-02-09T01:24:40.931188
2026-02-09,011080,0,2026-02-09T01:24:45.309417
2026-02-09,011090,0,2026-02-09T01:24:49.741206
2026-02-09,011150,0,2026-02-09T01:24:54.180556
2026-02-09,011155,0,2026-02-09T01:24:58.878277
2026-02-09,011170,0,2026-02-09T01:25:03.578704
2026-02-09,011200,0,2026-02-09T01:25:08.258147
