code,sector_code,sector_name,industry_code,industry_name,updated_at,source
293490,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:21.158961,search_stock_info:industry_fallback
295310,03,1차 비철금속 제조업,032402,1차 비철금속 제조업,2026-02-10T04:27:21.744755,search_stock_info:industry_fallback
298040,03,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:27:23.106450,search_stock_info:industry_fallback
298380,03,기초 의약물질 및 생물학적 제제 제조업,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:27:24.121770,search_stock_info:industry_fallback
307950,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:24.907056,search_stock_info:industry_fallback
310210,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:26.108317,search_stock_info:industry_fallback
316140,11,기타 금융업,116409,기타 금융업,2026-02-10T04:27:27.029707,search_stock_info:industry_fallback
319400,03,일반 목적용 기계 제조업,032901,일반 목적용 기계 제조업,2026-02-10T04:27:27.726471,search_stock_info:industry_fallback
319660,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:28.907153,search_stock_info:industry_fallback
323280,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:30.221852,search_stock_info:industry_fallback
323410,11,은행 및 저축기관,116401,은행 및 저축기관,2026-02-10T04:27:31.028801,search_stock_info:industry_fallback
326030,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:31.625050,search_stock_info:industry_fallback
328130,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:32.206237,search_stock_info:industry_fallback
329180,03,선박 및 보트 건조업,033101,선박 및 보트 건조업,2026-02-10T04:27:33.606190,search_stock_info:industry_fallback
347700,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:34.206393,search_stock_info:industry_fallback
347850,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:34.805678,search_stock_info:industry_fallback
348210,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:35.629412,search_stock_info:industry_fallback
348340,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:36.508199,search_stock_info:industry_fallback
348370,03,기초화학물질 제조업,032001,기초화학물질 제조업,2026-02-10T04:27:37.149732,search_stock_info:industry_fallback
352820,10,오디오물 출판 및 원판 녹음업,105902,오디오물 출판 및 원판 녹음업,2026-02-10T04:27:37.806493,search_stock_info:industry_fallback
